x, y, z
135, 146, 155
140, 136, 155
141, 126, 155
144, 116, 155
145, 106, 155
146, 96, 155
146, 86, 155
143, 76, 155
138, 66, 155
130, 56, 155
119, 46, 155
112, 42, 155
107, 41, 155
107, 41, 155
116, 46, 155
