x, y, z
-35.78238, 59.06945, 52.61807
-48.79689, 43.41049, 48.88429
-56.79825, 32.12061, 45.96592
-64.7996, 20.83073, 43.04755
-65.01557, 11.27129, 39.50207
-66.20471, 1.495536, 36.03499
-65.4475, -7.847603, 32.41112
-63.71711, -16.97444, 28.70887
-61.98673, -26.10127, 25.00662
-58.31, -34.7955, 21.1476
-49.7674, -42.4082, 16.89663
-35.67118, -48.2245, 12.40885
