x, y, z
40, 153, 169
37, 147, 169
33, 137, 169
29, 127, 169
27, 117, 169
25, 107, 169
23, 97, 169
23, 87, 169
24, 77, 169
28, 67, 169
34, 57, 169
44, 47, 169
~               
