x, y, z
-52.21561, 15.97401, 24.4261
-57.24612, 5.453766, 24.56162
-57.30011, -4.595939, 24.5842
-59.3447, -14.83386, 24.65196
-60.39399, -24.97767, 24.69714
-59.45266, -34.93327, 24.69714
-59.50665, -44.98298, 24.71972
-59.50665, -44.98298, 24.71972
-56.57471, -54.75036, 24.67455
-50.65686, -64.23541, 24.56162
-38.76717, -73.15582, 24.31316
-27.87279, -82.17033, 24.0873
-19.53382, -85.3997, 23.9066
-14.46316, -85.92472, 23.79367
-14.46316, -85.92472, 23.79367
-23.89157, -81.7939, 23.99695
