x, y, z
34, 146, 155
26, 136, 155
21, 126, 155
17, 116, 155
14, 106, 155
10, 96, 155
10, 86, 155
12, 76, 155
16, 66, 155
23, 56, 155
34, 46, 155
42, 42, 155
48, 41, 155
55, 41, 155
62, 46, 155
